7.775,3.625,5.0,1.5707966,5.0,1.5707964
6.375,14.375,1.9014797,2.707348,3.4308336,1.6291242
3.075,12.375,5.0759854,-1.5510944,5.0,1.5707964
5.15,10.15,3.5805886,-0.055886038,5.0,1.5707964
8.05,14.925,5.0,1.5707966,5.0,1.5707964
8.65,21.025,2.4487245,0.87213624,5.0,1.5707964
10.875,21.775,0.7619874,-0.7157438,5.0,1.5707964
12.0,19.875,2.1499996,-1.5707964,5.0,1.5707964
10.075,17.775,4.252645,3.1063135,5.0,1.5707964
2.75,24.95,3.4532583,1.5273454,5.0,1.5707964
5.1,27.275,5.5859756,-0.06269805,5.0,1.5707964
7.925,24.775,1.801561,-1.6124384,5.0,1.5707964
7.75,2.025,50.0,-1.5707964,5.0,1.5707964
